nba_player_list_2
Name,Points,Asist,Board,Salary
Stephen Curry,27.3,5.3,5.2,40231758
Chris Paul,15.6,4.6,8.2,38506482
Russell Westbrook,22.9,11.1,10.7,38178000
John Wall,20.7,3.6,8.7,37800000
James Harden,36.1,6.6,7.5,37800000
LeBron James,27.4,8.5,8.3,37436858
Kevin Durant,26,6.4,5.9,37199000
Kemba Walker,25.6,4.4,5.9,34379100
Blake Griffin,24.5,7.5,5.4,34234964
Kyle Lowry,14.2,4.8,8.7,33296296
Paul George,28,8.2,4.1,33005556
Klay Thompson,21.5,3.8,2.4,32742000
Jimmy Butler,18.7,5.3,4,32742000
Kawhi Leonard,26.6,7.3,3.3,32742000
Gordon Hayward,11.5,4.5,3.4,32700690
Mike Conley,21.1,3.4,6.4,32511623
Kyrie Irving,23.8,5,6.9,31742000
Tobias Harris,20,7.9,2.8,31034483
Khris Middleton,18.3,6,4.3,30603448
Paul Millsap,12.6,7.2,2,30500000
Damian Lillard,25.8,4.6,6.9,29802321
Kevin Love,17,10.9,2.2,28900000
Nikola Vu?evi?,20.8,12,3.8,28000000
Al Horford,13.6,6.7,4.2,28000000
DeMar DeRozan,21.2,6,6.2,27739975
CJ McCollum,21,4,3,27556959
Kristaps Porzi??is,17.8,7.1,1.3,27285000
D'Angelo Russell,21.1,3.9,7,27285000
Andrew Wiggins,18.1,4.8,2.5,27270000
Joel Embiid,27.5,13.6,3.7,27270000
Otto Porter,13.9,5.6,2.1,27250576
Devin Booker,26.6,4.1,6.8,27250000
Karl-Anthony Towns,24.4,12.4,3.4,27250000
Bradley Beal,25.6,5,5.5,27093019
Anthony Davis,25.9,12,3.9,27093019
Andre Drummond,17.3,15.6,1.4,27093019
Hassan Whiteside,12.3,11.3,0.8,27093018
Nikola Joki?,20.1,10.8,7.3,26573595
Jrue Holiday,21.2,5,7.7,26131111
LaMarcus Aldridge,21.3,9.2,2.4,26000000
Steven Adams,13.9,9.5,1.6,25842697
Giannis Antetokounmpo,27.7,12.5,5.9,25842697
Marc Gasol,13.6,7.9,4.4,25595700
Nicolas Batum,9.3,5.2,3.3,25565217
Chandler Parsons,7.5,2.8,1.7,25102511
Rudy Gobert,15.9,12.9,2,25008427
Serge Ibaka,15,8.1,1.3,23271604
Danilo Gallinari,19.8,6.1,2.6,22615559
Victor Oladipo,18.8,5.6,5.2,21000000
Malcolm Brogdon,15.6,4.5,3.2,20000000
Terry Rozier,9,3.9,2.9,19894737
Aaron Gordon,16,7.4,3.7,19863636
Zach LaVine,23.7,4.7,4.5,19500000
Kent Bazemore,11.6,3.9,2.3,19269662
Tyler Johnson,10.9,3,2.9,19245370
Goran Dragi?,13.7,3.1,4.8,19217900
Jeff Teague,12.1,2.5,8.2,19000000
Harrison Barnes,16.4,4.7,1.5,18973214
Evan Turner,6.8,4.5,3.9,18606557
Draymond Green,7.4,7.3,6.9,18539130
Tristan Thompson,10.9,10.2,2,18539130
Allen Crabbe,9.6,3.4,1.1,18500000
Tim Hardaway Jr.,18.1,3.4,2.4,18150000
Reggie Jackson,15.4,2.6,4.2,18086956
Myles Turner,13.3,7.2,1.6,18000000
Julius Randle,21.4,8.7,3.1,18000000
Gary Harris,12.9,2.8,2.2,17839286
Andre Iguodala,5.7,3.7,3.2,17185185
Bojan Bogdanovi?,18,4.1,2,17000000
Evan Fournier,15.1,3.2,3.6,17000000
Bismack Biyombo,4.4,4.6,0.6,17000000
Derrick Favors,11.8,7.4,1.2,16900000
Clint Capela,16.6,12.7,1.4,16456522
Gorgui Dieng,6.4,4.1,0.9,16229213
Ricky Rubio,12.7,3.6,6.1,16190476
Jonas Valan?i?nas,15.6,8.6,1.4,16000000
Brandon Knight,6.8,1.5,1.8,15643750
Eric Bledsoe,15.9,4.6,5.5,15625000
Kelly Oubre Jr.,15.2,4.7,1.2,15625000
Dennis Schr?der,15.5,3.6,4.1,15500000
Ian Mahinmi,4.1,3.8,0.7,15450051
James Johnson,7.8,3.2,2.5,15349400
Marvin Williams,10.1,5.4,1.2,15006250
Bobby Portis,14.2,8.1,1.4,15000000
Marcus Morris,13.9,6.1,1.5,15000000
Danny Green,10.3,4,1.6,14634146
Cody Zeller,10.1,6.8,2.1,14471910
Eric Gordon,16.2,2.2,1.9,14057730
Mason Plumlee,7.8,6.4,3,14041096
Rudy Gay,13.7,6.8,2.6,14000000
J.J. Redick,18.1,2.4,2.7,13486300
Jordan Clarkson,16.8,3.3,2.4,13437500
Dewayne Dedmon,10.8,7.5,1.4,13333334
Solomon Hill,4.3,3,1.3,13258781
Justise Winslow,12.6,5.4,4.3,13000000
Michael Kidd-Gilchrist,6.7,3.8,1,13000000
Will Barton,11.5,4.6,2.9,12960000
Thaddeus Young,12.6,6.5,2.5,12900000
Courtney Lee,4,1.6,1.1,12759670
Larry Nance Jr.,9.4,8.2,3.2,12727273
Marcus Smart,8.9,2.9,4,12553471
Terrence Ross,15.1,3.5,1.7,12500000
Miles Plumlee,4.4,2.2,0.9,12500000
Patty Mills,9.9,2.2,3,12428571
Patrick Beverley,7.6,5,3.8,12345679
Trevor Ariza,12.5,5.4,3.7,12200000
Dion Waiters,12,2.6,2.8,12100000
Brook Lopez,12.5,4.9,1.2,12093024
Jusuf Nurki?,15.6,10.4,3.2,12000000
Cory Joseph,6.5,3.4,3.9,12000000
Joe Ingles,12.1,4,5.7,11954546
Kelly Olynyk,10,4.7,1.8,11667885
Maurice Harkless,7.7,4.5,1.2,11511234
Tony Snell,6,2.1,0.9,11392857
Robert Covington,13.3,5.5,1.3,11301219
Meyers Leonard,5.9,3.8,1.2,11286515
T.J. Warren,18,4,1.5,10810000
Andre Roberson,4.6,4,0.9,10740741
Spencer Dinwiddie,16.8,2.4,4.6,10600000
Jeremy Lamb,15.3,5.5,2.2,10500000
Dwight Powell,10.6,5.3,1.5,10259375
Norman Powell,8.6,2.3,1.5,10116576
Josh Richardson,16.6,3.6,4.1,10100000
Tom?? Satoransk?,8.9,3.5,5,10000000
DeAndre Jordan,11,13.1,2.3,9881598
Taj Gibson,10.8,6.5,1.2,9800000
Zion Williamson,NAN,NAN,NAN,9757440
Markelle Fultz,8.2,3.7,3.1,9745200
John Henson,5.6,5.1,1,9732396
Matthew Dellavedova,5.9,1.6,3.8,9607500
Dante Exum,6.9,1.6,2.6,9600000
Deandre Ayton,16.3,10.3,1.8,9562920
Delon Wright,8.7,3.5,3.3,9473684
Jerami Grant,13.6,5.2,1,9346153
Al-Farouq Aminu,9.4,7.5,1.3,9258000
George Hill,7.6,2.5,2.3,9133907
Kyle Anderson,8,5.8,3,9073050
Fred VanVleet,11,2.6,4.8,9000000
Ja Morant,NAN,NAN,NAN,8730240
C.J. Miles,6.4,1.8,0.7,8730158
Lonzo Ball,9.9,5.3,5.4,8719320
E'Twaun Moore,11.9,2.4,1.9,8664928
Marvin Bagley III,14.9,7.6,1,8556120
Bogdan Bogdanovi?,14.1,3.5,3.8,8529386
Tyus Jones,6.9,2,4.8,8408000
P.J. Tucker,7.3,5.8,1.2,8349039
Cristiano Fel?cio,4,3.6,0.6,8156500
Ben Simmons,16.9,8.8,7.7,8113930
Kentavious Caldwell-Pope,11.4,2.9,1.3,8089282
Maxi Kleber,6.8,4.6,1,8000000
Lou Williams,20,3,5.4,8000000
Elfrid Payton,10.6,5.2,7.6,8000000
Thomas Bryant,10.5,6.3,1.3,7936508
RJ Barrett,NAN,NAN,NAN,7839960
Jayson Tatum,15.7,6,2.1,7830000
Jae Crowder,11.9,4.8,1.7,7815533
Wayne Ellington,10.3,2,1.4,7804878
